Product_ID,Price
LUS262,3.79
LUS242,3.39
LUS2102Z,8.59
LUS46,5.49
LUS24Z,1.37
LUS36,6.39
LUS410,7.49
LUS310,4.89
LUS46Z,6.59
LUS48,6.19
LUS283,8.49
LUS263,11.69
LUS282Z,4.99
LUS414,11.09
LUS44,5.59
LUS210Z,2.99
LUS210,2.39
LUS282,$3.99
LUS24,$1.31
HHUS46,$10.89
LUS2103Z,$7.89
HGUS26,$36.69
HHUS410,$14.99
LUS262Z,$4.69
LUS2102,$4.09
LUS26,$1.79
LUS28,$4.49
HGUS283,$65.49
HGUS262,$42.89
LUS2103,$11.19
LUS28Z,$2.39
HGUS410,$69.09
HHUS262,$10.99
LUS26Z,$1.88
HHUS48,$13.49
HGUS282,$44.29
HHUS282,$13.29
HGUS414,$75.99
HGUS28,$35.39
HGUS48,$42.99
HGUS2103,$76.29
HGUS263,$44.59
HGUS284,$56.09
HGUS264,$71.89
HGUS2102,$60.09
HGUS46,$43.99
HUS410,$7.79
HUS262,$14.69
HUS26,$4.19
HUS48,$11.09
HUS46,$15.79
HUS2102,$12.99
HUS179,$20.59
HUS18110,$19.39
HUS28,$7.79
HUS412,$17.49
HUS210Z,$17.59
HUS410,$19.99
HUS2122,$21.39
HUS282,$12.39
HUS262,$10.39
HUS26,$9.19
HUS28,$7.79
HUS2122TF,$34.49
HUS46TF,$32.69
HUS210,$14.19
HUS2102TF,$33.69
