Product_ID,Price
HUS2122TF,$34.49
LUS262Z,$4.69
LUS28Z,$2.39
HHUS72510,$71.29
LUS410,$7.49
LUS26Z,$1.88
LUS46Z,$6.59
HUS2122,$21.39
HGUS284,$56.09
HGUS412,$70.59
HGUS72512,$145.49
HUS179,$20.59
HUS210Z,$17.59
HGUS68812,$92.79
HHUS5510,$62.69
HUS28,$7.79
HUS282,$12.39
LUS46,$5.49
HUS18110,$19.39
LUS2103Z,$7.89
HGUS410,$69.09
HUS46TF,$32.69
LUS24,$1.31
LUS24Z,$1.37
LUS36,$6.39
HGUS55014,$143.99
HGUS32512,$59.89
HUS28,$7.79
LUS28,$4.49
LUS26,$1.79
LUS242,$3.39
HGUS26,$36.69
HHUS46,$10.89
HUS48,$11.09
HGUS414,$75.99
LUS262,$3.79
HUS412,$17.49
HHUS410,$14.99
HUS2102TF,$33.69
HGUS2103,$76.29
HUS262,$10.39
LUS210Z,$2.99
HGUS72510,$118.69
LUS48,$6.19
LUS310,$4.89
HUS410,$7.79
HUS26,$9.19
LUS282,$3.99
LUS2102,$4.09
HHUS48,$13.49
LUS210,$2.39
HUS210,$14.19
HUS26,$4.19
HUS2102,$12.99
HGUS55010,$98.19
HUS262,$14.69
HGUS72514,$141.19
HGUS52510,$108.69
HUS410,$19.99
LUS414,$11.09
HGUS263,$44.59
HGUS55012,$112.09
LUS283,$8.49
HGUS52512,$120.99
HGUS283,$65.49
HGUS28,$35.39
HGUS282,$44.29
HUS46,$15.79
LUS44,$5.59
HGUS48,$42.99
HGUS2102,$60.09
HHUS262,$10.99
LUS2102Z,$8.59
HGUS262,$42.89
HHUS282,$13.29
LUS282Z,$4.99
HGUS46,$43.99
LUS2103,$11.19
HGUS32510,$64.39
HGUS68814,$188.59
HGUS264,$71.89
HGUS68810,$67.59
LUS263,$11.69
